estacion,fecha,cantidad_pasos
alberdi,6/19/2018,10623
alberdi,6/20/2018,5650
alberdi,6/21/2018,9067
alberdi,6/22/2018,10718
alberdi,6/23/2018,8815
alberdi,6/24/2018,6107
alberdi,6/25/2018,8492
alberdi,6/26/2018,9637
alberdi,6/27/2018,10602
alberdi,6/28/2018,10781
alberdi,6/29/2018,10740
alberdi,6/30/2018,6915
alberdi,7/1/2018,5825
alberdi,7/2/2018,9788
alberdi,7/3/2018,10433
alberdi,7/4/2018,10250
alberdi,7/5/2018,10687
alberdi,7/6/2018,11338
alberdi,7/7/2018,8490
alberdi,7/8/2018,6696
alberdi,7/9/2018,7397
alberdi,7/10/2018,10104
alberdi,7/11/2018,10703
alberdi,7/12/2018,10800
alberdi,7/13/2018,10648
alberdi,7/14/2018,9470
